1,2.863164e-05
2,6.780225e-06
3,1.4918596e-05
4,8.805707e-06
5,5.508755e-06
6,3.0900024e-05
7,1.0027342e-05
8,2.057588e-05
9,2.1875847e-05
10,2.5885867e-05
1,1.1748936e-05
2,8.355973e-06
3,8.385201e-06
4,1.8982168e-05
5,1.5002001e-05
6,6.023419e-06
7,7.75491e-06
8,9.0068625e-06
9,1.1538755e-05
10,2.446628e-05
11,7.510165e-06
12,4.3654295e-06
13,8.811448e-06
14,1.2129943e-05
15,1.1458589e-05
16,1.0010127e-05
17,3.5078985e-05
18,7.343175e-06
19,1.16714045e-05
20,1.2767525e-05
21,2.9919032e-05
22,2.686623e-05
23,1.0378808e-05
24,2.3330987e-05
25,1.4405641e-05
26,1.8143375e-05
27,5.6096505e-06
28,7.23759e-06
29,0.009996882
30,1.0297533e-05
31,1.0624222e-05
32,1.103971e-05
33,0.009967292
34,1.5928563e-05
35,2.0922796e-05
36,1.321873e-05
37,5.3443575e-05
38,1.19317465e-05
39,1.1482089e-05
40,0.010099755
41,1.2306578e-05
42,9.697837e-06
43,1.2377395e-05
44,1.0759226e-05
45,1.3890365e-05
46,1.3575538e-05
47,1.451914e-05
